safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
French horn	แตรทองเหลืองรูปร่างโค้งงอชนิดหนึ่ง
chill pill	สิ่งที่ทำให้คลายเครียด
pick holes in	ว่ากล่าวอย่งรุนแรง
chunk	เนื้อหรือไม้ชิ้นหนาและสั้น
sticky-fingered	ชอบขโมย
Eocene	ยุคแรกเริ่มที่สัตว์เลี้ยงลูกด้วยนมถือกำเนิดขึ้นประมาณ 56.5 ถึง 35.4 ล้านปีมาแล้ว
enclose with	รวมอยู่ใน (ซอง, ห่อหรืออื่นๆ)
dyne	หน่วยวัดกำลัง
rub off	(ความสำเร็จ) กลายเป็นสิ่งมีความสำคัญน้อย
fence around with	ควบคุมด้วย
collusion	การสมรู้ร่วมคิด
crawl	เลื้อย
clue one in	ให้ข้อมูลที่เป็นประโยชน์
instantaneously	อย่างทันที
mission	คณะผู้แทน
sedentarily	อย่างนั่งอยู่กับที่
badger into	รบเร้าให้
jar1	โอ่ง
claw off	แล่นไปทางที่มีลม
quaky	ซึ่งสั่นระริก
sandstone	หินทราย
sceptre	มอบคทาให้
behaviour	พฤติกรรม
flush away	ล้างออก
baseline	เส้นขอบด้านหลังของสนามกีฬา
religiose	ซึ่งเลื่อมใสมากเกินไป
loosely	หลวม
win round	ได้รับความสนับสนุนจาก
waltz off with	หนีไป
inflate with	ทำให้พองด้วย
maroon1	สีแดงม่วงเข้มอมน้ำตาล
virgule	เส้นแบ่งระหว่างคำ (/)
calm	ที่สงบเงียบ
biorhythm	การเปลี่ยนแปลงทางร่างกายที่มีผลต่อพฤติกรรมมนุษย์
Wed.	วันพุธ (คำย่อของ Wednesday)
extremity	ความที่สุด
expectorate	ขากเสมหะ
schooner	เรือใบ
licentiate	ผู้ได้รับอนุญาตให้ประกอบอาชีพในสาขาใดสาขาหนึ่ง
hindsight	การเข้าใจถึงปัญหาหลังจากที่เหตุการณ์ได้เกิดขึ้นแล้ว
winsome	ซึ่งมีสเน่ห์
glamorize	ทำให้น่าดู
jettison	โยนสิ่งของออกเพื่อทำให้เรือหรือเครื่องบินเบาขึ้น
be beneath contempt	(จิตใจ) ต่ำมาก
blow away	พัดจากไป
oxen	คำนามพหูพจน์ของ ox
fireball	ดาวตก
unerring	ไม่ผิดพลาด
premature	ยังไม่โตเต็มที่
comic	หนังสือการ์ตูน
registered nurse	พยาบาลวิชาชีพที่ผ่านสอบรับรองมาตรฐาน (คำย่อคือ RN)
misbehaver	ผู้ประพฤติตัวไม่เหมาะสม
superintendent	อยู่ในความควบคุมดูแล
-type	สิ่งที่เป็นรูปแบบ
hesitantly	อย่างลังเล
megalith	หินขนาดใหญ่มาก
dumbfound	ทำให้ประหลาดใจอย่างมาก
loser	ผู้สูญเสีย
on the face of it	อย่างผิวเผิน
go scot-free	รอดพ้นจากการลงโทษ
magnetic clutch	คลัตซ์อัตโนมัติของรถ
rhea	นกที่มีลักษณะคล้ายนกกระจอกเทศ
mischievously	อย่างเป็นภัย
unprecedented	ที่ไม่เคยเกิดขึ้นมาก่อน
promise the moon (to)	ให้สัญญาในสิ่งที่มากเกินไป
springtide	กระแสน้ำขึ้นหรือลงอย่างมากในช่วงพระจันทร์เต็มดวง
annihilation	การทำลายล้าง
foxglove	ดอกไม้สีขาวกับชมพูม่วงและรูปร่างคล้ายระฆัง
homophone	คำพ้องเสียง
henpeck	ด่าว่า (สามี)
oriel	หน้าต่างขนาดใหญ่ที่ยื่นออกจากผนัง
respectively	ตามลำดับ
repeat oneself	พูดซ้ำ
Welshwoman	ผู้หญิงชาวเวลส์
mentalism	ความเชื่อว่าทุกสิ่งเกิดขึ้นภายในจิตใจ
mannerly	อย่างสุภาพ
good Joe	เพื่อนที่ดี
require of	อ้างสิทธิ์
enervate	ทำให้ร่างกายอ่อนแอ
effectively	อย่างได้ผล
surround	บริเวณแวดล้อม
underpopulation	การมีประชากรเบาบาง
Gentile	ซึ่งไม่เกี่ยวกับคนยิว (หรือ gentile)
dally over	เสียเวลากับ
